File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,1,1,177,pijp,lauwerkrans,farao,clown,clown.png,7,unstructured,uc,NO,859,1,,0.8
Exp_EEG2.txt,2,1,2,191,gangpad,zoomlens,bladmuziek,octopus,octopus.png,7,unstructured,uc,NO,0,1,,0.693333333
Exp_EEG2.txt,2,1,3,157,groente,knoflook,sjalot,ui,onion.png,3,unstructured,c,NO,600,1,,0.528862511
Exp_EEG2.txt,2,1,4,59,sloeg,kakkerlak,met,bezem,broom01.png,9,structured,uc,VOP,0,1,,0.68
Exp_EEG2.txt,2,1,5,160,piloot,helikopter,stewardess,vliegtuig,plane.png,3,unstructured,c,NO,0,1,,0.63160059
Exp_EEG2.txt,2,1,6,169,salade,kassa,amfibie,baard,beard.png,7,unstructured,uc,NO,0,1,,1.093333333
Exp_EEG2.txt,2,1,7,72,doorzocht,vak,voor,helm,helmet.png,9,structured,uc,VOP,0,1,,0.688991874
Exp_EEG2.txt,2,1,8,149,winter,nek,wol,sjaal,scarf.png,3,unstructured,c,NO,850,1,,0.653333333
Exp_EEG2.txt,2,1,9,57,doos,staat,bij,bed,bed.png,9,structured,uc,SVP,850,1,,0.771882368
Exp_EEG2.txt,2,1,10,154,vloer,decoratie,franjes,tapijt,carpet.png,3,unstructured,c,NO,1000,1,,0.709714497
Exp_EEG2.txt,2,1,11,10,opa,leest,met,bril,glasses01b.png,1,structured,c,SVP,0,1,,0.637806523
Exp_EEG2.txt,2,1,12,94,haatte,kleur,van,raam,window01.png,9,structured,uc,VOP,0,1,,0.80390824
Exp_EEG2.txt,2,1,13,84,wetenschapper,sprak,over,maan,moon.png,9,structured,uc,SVP,0,1,,1.054463596
Exp_EEG2.txt,2,1,14,79,verborg,pen,onder,krant,newspaper.png,9,structured,uc,VOP,0,1,,0.863953044
Exp_EEG2.txt,2,1,15,141,gieter,kunstmest,grond,plantje,plant02b.png,3,unstructured,c,NO,800,1,,0.733333333
Exp_EEG2.txt,2,1,16,90,kok,wijst,naar,pan,pan.png,9,structured,uc,SVP,680,1,,0.653333333
Exp_EEG2.txt,2,1,17,137,dierentuin,zebra,slurf,olifant,elephant.png,3,unstructured,c,NO,0,1,,0.530746386
Exp_EEG2.txt,2,1,18,102,klanten,klaagden,over,tent,tent.png,9,structured,uc,SVP,870,1,,0.826666667
Exp_EEG2.txt,2,1,19,53,konijn,knaagt,op,wortel,carrot02.png,1,structured,c,SVP,0,1,,0.706666667
Exp_EEG2.txt,2,1,20,113,bestuurder,snelweg,benzine,auto,car.png,3,unstructured,c,NO,0,1,,0.813939284
Exp_EEG2.txt,2,1,21,184,vloer,zebra,navel,kerstman,santa.png,7,unstructured,uc,NO,820,1,,0.788837241
Exp_EEG2.txt,2,1,22,163,wastafel,toiletpapier,ontstopper,wc,wc2.png,3,unstructured,c,NO,1170,1,,1.026666667
Exp_EEG2.txt,2,2,23,23,hamster,breekt,uit,kooi,cage.png,1,structured,c,SVP,740,1,,0.688991874
